지점번호,지점명(한글),지점주소,관리관서,area
417,금천,서울특별시 금천구시흥대로104길 31독산초등학교  ,서울기상관측소(108),서울
418,한강,서울특별시 영등포구여의동로 280여의도 세모유람선 ,,서울
418,한강,서울특별시 영등포구여의동로 280여의도 세모유람선 ,서울기상관측소(108),서울
419,중구,서울특별시 중구소파로 83남산케이블카  ,,서울
419,중구,서울특별시 중구소파로 83남산케이블카  ,서울기상관측소(108),서울
421,성동,서울특별시 성동구서울숲길 18성수중학교  ,,서울
421,성동,서울특별시 성동구서울숲길 18성수중학교  ,서울기상관측소(108),서울
422,북악산,서울특별시 종로구 북악산로267,,서울
423,구로,서울특별시 구로구부일로 893온수초등학교  ,,서울
423,구로,서울특별시 구로구부일로 893온수초등학교  ,서울기상관측소(108),서울
424,강북,서울특별시 강북구도봉로89길 13강북구청  ,,서울
424,강북,서울특별시 강북구도봉로89길 13강북구청  ,서울기상관측소(108),서울
425,남현,서울특별시 관악구남현동 산100-1420003호  ,,서울
430,경기,,,경기
431,신곡,,파주기상대(99),경기
432,인계,,,경기
432,인계,,,경기
433,부천,,인천기상대(112),경기
434,안양,,,경기
435,고잔,,,경기
436,역삼,,,서울
436,역삼,,,서울
437,광명,,인천기상대(112),경기
437,광명,,서울기상관측소(108),경기
438,군포,,,경기
439,진안,,,전북
440,설봉,,이천지역기상서비스센터(203),경기
441,김포,,인천기상대(112),인천
442,지월,,,경기
443,보개,,,경기
444,하남,,이천지역기상서비스센터(203),경기
445,의왕,,,경기
446,남촌,,,인천
447,북내,,이천지역기상서비스센터(203),경기
448,산북,,이천지역기상서비스센터(203),경기
449,옥천,,이천지역기상서비스센터(203),충북
450,주교,,파주기상대(99),충남
451,오남,,동두천지역기상서비스센터(98),경기
451,오남,,서울기상관측소(108),경기
451,오남,,서울기상관측소(108),경기
452,신북,,,경기
453,소하,,인천기상대(112),경기
454,하봉암,,동두천지역기상서비스센터(98),경기
455,읍내,,,경기
456,연천,,동두천지역기상서비스센터(98),경기
457,춘궁,,이천지역기상서비스센터(203),경기
458,퇴촌,,이천지역기상서비스센터(203),경기
459,오포,,이천지역기상서비스센터(203),경기
460,실촌,,이천지역기상서비스센터(203),경기
461,마장,,이천지역기상서비스센터(203),경기
462,모가,,이천지역기상서비스센터(203),경기
463,흥천,,이천지역기상서비스센터(203),경기
464,점동,,이천지역기상서비스센터(203),경기
465,가남,,이천지역기상서비스센터(203),경기
466,금사,,이천지역기상서비스센터(203),경기
467,양성,,,경기
468,서운,,,경기
469,일죽,,,경기
470,고삼,,,경기
471,송탄,,,경기
472,포승,,,경기
473,가산,,동두천지역기상서비스센터(98),경기
474,영북,,동두천지역기상서비스센터(98),경기
475,관인,,동두천지역기상서비스센터(98),경기
476,화현,,동두천지역기상서비스센터(98),경기
477,상패,,동두천지역기상서비스센터(98),경기
478,왕징,,동두천지역기상서비스센터(98),경기
479,장남,,동두천지역기상서비스센터(98),경기
480,미산,,동두천지역기상서비스센터(98),서울
481,탄현,,파주기상대(99),경기
482,광탄,,파주기상대(99),경기
483,진동,,파주기상대(99),경기
484,창현,,동두천지역기상서비스센터(98),경기
485,신천,,동두천지역기상서비스센터(98),부산
486,외서,,동두천지역기상서비스센터(98),전남
487,대곶,,인천기상대(112),경기
488,송산,,,경기
489,서신,,,경기
490,초성리,,,경기
491,군남,,,경기
492,학온동,,인천기상대(112),경기
495,하개정,경기도 안성시공도읍 불당길40-68(불당 하수종말처리장) ,,경기
495,하개정,경기도 안성시공도읍 불당길40-68(불당 하수종말처리장) ,,경기
495,하개정,경기도 안성시공도읍 불당길40-68(불당 하수종말처리장) ,수도권기상청(119),경기
496,세종금남,세종특별자치시 세종특별자치시금남면 성덕리 77-3  ,대전지방기상청(133),세종
496,세종금남,세종특별자치시 세종특별자치시금남면 성덕리 77-3  ,대전지방기상청(133),세종
497,삽당령,강원도 강릉시왕산면송현리 219-1  ,강릉(구 105),강원
498,구룡령,강원도 홍천군내면 명개리산 1-35 ,강릉(구 105),강원
499,중면,경기도 연천군중면 삼곶리 260 육군 제28사단 81연대 ,,경기
499,중면,경기도 연천군중면 삼곶리 260 육군 제28사단 81연대 ,동두천지역기상서비스센터(98),경기
499,중면,경기도 연천군중면 삼곶리 260 육군 제28사단 81연대 ,파주기상대(99),경기
500,양도,인천광역시 강화군양도면 길정리296-2 강화 예비군훈련장,인천기상대(112),인천
500,양도,인천광역시 강화군양도면 길정리296-2 강화 예비군훈련장,인천기상대(112),인천
501,대연평,인천광역시 옹진군연평면 연평리493-12  ,인천기상대(112),인천
501,대연평,인천광역시 옹진군연평면 연평리493-12  ,인천기상대(112),인천
502,교동,인천광역시 강화군교동면 고구리480-1  ,인천기상대(112),인천
503,도라산,경기도 파주시장단면 도라산리18도라대대  ,,경기
503,도라산,경기도 파주시장단면 도라산리18도라대대  ,파주기상대(99),경기
503,도라산,경기도 파주시장단면 도라산리18도라대대  ,동두천지역기상서비스센터(98),경기
503,도라산,경기도 파주시장단면 도라산리18도라대대  ,동두천지역기상서비스센터(98),경기
503,도라산,경기도 파주시장단면 도라산리18도라대대  ,서울기상관측소(108),경기
504,포천,경기도 포천시자작동 264-1육군15항공단  ,,경기
504,포천,경기도 포천시자작동 264-1육군15항공단  ,동두천지역기상서비스센터(98),경기
504,포천,경기도 포천시자작동 264-1육군15항공단  ,철원기상대(95),경기
505,하면,경기도 가평군하면 현리209 가평 하면정수장,,경기
505,하면,경기도 가평군하면 현리209 가평 하면정수장,,경기
505,하면,경기도 가평군하면 현리209 가평 하면정수장,춘천기상대(101),경기
506,금촌,경기도 파주시금촌2동 1017(파주시 주말농장) ,,경기
506,금촌,경기도 파주시금촌2동 1017(파주시 주말농장) ,,경기
506,금촌,경기도 파주시금촌2동 1017(파주시 주말농장) ,파주기상대(99),경기
506,금촌,경기도 파주시금촌2동 1017(파주시 주말농장) ,동두천지역기상서비스센터(98),경기
506,금촌,경기도 파주시금촌2동 1017(파주시 주말농장) ,서울기상관측소(108),경기
507,창수,경기도 포천시창수면 고소성리123 육군 제3985부대,,경기
